"userid","transcript"
"5edceace34669404354ab615","Thank you, you are appreciated! And to be honest, I think sharing my story may help other women who are in a narcissist relationship, dealing with mental health, so I would love to be a part of your future project!"
"631780ffdc06e4d6d4a8aa2d","631780ffdc06e4d6d4a8aa2d"
"636148b49f7e6e857fde4001","Thank you"
"5484655ffdf99b07b28f22cc","Thanks for letting me participate and thanks for adding to our body of knowledge. :)"
"6138f7e0ad42e592ca5f2024","no comments"
"6388fe254da991e17e7535ed","It was emotional sharing my stories, but thanks for the opportunity to release some feelings."
"60cd83946509ada9844efee9","I'm not sure if all of my recordings went through as I had to click the back button a few times to re-record"
"5dcf34f64fee9907fc626f0f","Thanks so much for this study. It helps me to talk and hopefully helps your study! Have a lovely holiday."
"5df961cb53e8466f17606ae1","Thank you for this opportunity.  It was great to self reflect and put into words some of the things I have experienced."
"62d5c169b25535bc60fd5248","62d5c169b25535bc60fd5248"
"631f3abc8826b6e7e8982648","Thank you for this opportunity. I didn't know talking about these things would feel so much better, and help me realize certain things. PLEASE contact me for future studies, this was very enlightening. And thank you for providing resources for people who are truly struggling."
"55b8d0bffdf99b0f2859fe73","no comments"
"627e71af3701230cdc757652","hope u have a good day"
"5e74e1df5ae15103a51a1ee8","I enjoyed the prompts and talking through some of my issues. I really appreciated it, very much so."
"60bc18bb8b971280ef13060c","I apologize for rambling a bit in my audio recordings. Thank you for this opportunity."
"610d7c6a95a9ebcd19ba63ab","I found this intriguing."
"63852498bcb698988baa11c2","Thanks I hope I did a satisfactory job"
"63a33eccac92851a6d39a506","Enjoyed the survey."
"5ba3abb73b42cb0001635d7d","Sorry for not being the greatest ad hoc speaker"
"632e9aa62793c18a857aece4","Please contact me about future digital recordings. Lots of people have said I should write a book. My life has been very colorful and varied in many ways. It may be worth recording about it."
"63615326bf65aea8fab33ef2","Thank you."
"60b8e59ef963cd7c6989cd37","I'm not completely positive if my first voice recording went through and I was not able to go back and tell. If it did not go through I will happily rerecord it for you. The back arrow was missing from that one page for some reason."
"5c52016a3146f80001d47b26","no feedback, thanks"
"60fe22fc7d5b57bc96e518ca","This study for good but so glitchy. I hade to record some of the questions like 4 times and I still don’t think they all went through"
"5a81a9f0ae9a0b0001a9c63a","5a81a9f0ae9a0b0001a9c63a"
"59baa339ab8d830001fe56f5","Thanks"
"5c753cfc25c76b00017068ab","It was hard to talk for the 90 minutes but I did do my best."
"610771fea1c5d0ee37050084","The voice recordings kept failing. I would have to close the study and reopen in a new window so I would advise to look into that."
"628e0063fa56e316da2a71cb","Talking on the fly is difficult for me I hope that what I provided wasn't sub-par with all the umms, and ahhs and stutters."
"56d1af6521cd29000b973ff2"," Merry Christmas"
"614ead1e38ca4b390b860c23","thank you"
"602084a1e5330d6c7ad1d17e","I recorded the first question, but didn't realize I had to accept it in the black box before accepting it with the Yes. My fault entirely. Yes, it was emotionally charged, but I needed to process the directions. Tried to find a back button to do it again. All the other recording pages had a back button but I couldn't seem to find one to get me clear back to the first question. My sincere apologies, and would be happy to do that first question again if it helps keep your data complete. What an amazing study. Thank you.."
"5ffa65ae7211c742f5e88aaf","5ffa65ae7211c742f5e88aaf"
"5bdc4c1b75ae900001f30a87","5bdc4c1b75ae900001f30a87"
"5e91758194a98c4a7575de52","Its hard to talk about 1 specific thing for 90 seconds straight lol. I didnt realize this until now."
"5f5be9b21c93d23b442ceb47","Thank you for this opportunity to help you & also earn extra/helpful money. Thank you so much"
"6045e5cdb5547f7347302e2b","I mentioned it in the relevant answers, but I'll write it here as well. When I got to the final recorded question I wasn't sure if I clicked accept on all the records, so I went back to the double check. However, it doesn't save your answer for these questions so I needed to recorded the answer to those questions again. Sorry about the double answers, but I wanted to make sure you got all the answers. Other than that, there were no problems. Thank you!"
"6162d7f2f4d650e7eec2e5b7","First one did not save, but I answered the question in a later recording."
"6119efd15a0a464b68fd0c6e","Thank you for the survey"
"5e916cb9e502b1498e8fc059","Great survey -- really enjoyed doing this one! Different subject matter and approach, for sure."
"60463896f9a82809f6eda231","I enjoyed participating in this study and I was happy to share some audio responses. Thank you!"
"5bc9ff771760a8000115b8f7","Thank you for the opportunity to participate."
"62f708e4d875cdc4a05333c5","Thank you very much for allowing me a second chance to take this survey.  I greatly appreciate it."
"6234790e93ccbf5fc88ad4fe","this was very 'thoughtful"" and made me think about what I want and MY plans for the future, which is alien to me since I've spent 19+ years raising kids and focusing on them and THEIR needs"
"5a135875074b1900012527a9","Jesus loves you!"
"5e11fc3a76f45086a608f9bd","I thought this would be very awkward and wasn't sure I wanted to do the audio, but it wasn't bad at all and was actually kind of nice to talk things out and I learned some thing about myself from it."
"611c5ecc9dbdd93c809cee27","thanks"
"6323c66923b89b0a73b205c7","Talking helped me feel a bit less depressed. Thanks for that."
"6122887748c825a688a6dd20","6122887748c825a688a6dd20"
"5c675fad8f100a000107e249","5c675fad8f100a000107e249"
"62348f3b53e65a4bfb7acd8b","It was cathartic to let my thoughts out thanks"
"631b1b73d28c1fec4f5d5183","Thank you for the opportunity. It's nice to self-reflect on occasion."
"639a21660463f7343d9cee2b","639a21660463f7343d9cee2b"
"6394e83b4be197877056c3bd","I really enjoyed this survey, especially with where I am in my current journey.  It helped me to reflect a bit and feel good about the choices I have made, and am making, and excitement about what the future holds for me."
"626770ed967ed55ba267488a","I wasn’t able to do the next recording without refreshing the screen. It didn’t lock up or anything but the green line was straight across. I think when it went to the next questions it lost access to my mic because the mic light was no longer on. When I refreshed it asked for access again."
"5e9fc65dee2ccf178f0e413f","none"
"60fcdd362d1a5e0d012b91f0","60fcdd362d1a5e0d012b91f0"
"60af258f489a7379e9281f25","Thank you, I feel like talking about my feelings made me feel better."
"5d69678bf4d251001c0f81f3","Thank you so much for the opportunity to participate in your study. I would absolutely love to be involved in future studies that you mentioned. I hope you have a wonderful day! :)"
"5f4ad4dade24ea6a79e7f3a5",":P"
"5e32fc389d3f972ca2dca81c","Thank you for the opportunity to participate! It was very fun!"
"610c59ee34cc312d7ca55e45","610c59ee34cc312d7ca55e45"
"55eb4774748092000baa97ee","Thank you! Happy Holidays :)"
"61030a94522ab54d519d7540","61030a94522ab54d519d7540"
"628f9792b0d89f574e123771","628f9792b0d89f574e123771"
"570d22b35e5156000efd8bd5","Thanks"
"6022f68e2356a6118c091f31","sorry these recordings are kinda awkward"
"632ab708d83cdfcafa433244","It's funny, these recordings themselves felt a bit therapeutic."
"5c095c8a217d6000011193b8","thank you!"
"62fe7fcc250311d93a7d6268","This was a good survey that brought back memories"
"60008e2ee4d8c913c602e0cd","60008e2ee4d8c913c602e0cd"
"5e555e3152f93b5508f5bc16","Thank you so much! :-)"
"5e5080883771350caf2d9fda","This was actually a very enjoyable study. It made me think a lot and put a lot of things in perspective! Good luck with your research and Happy Holidays!"
"5c59e6519dd64d00018adaa8","5c59e6519dd64d00018adaa8"
"5e63e793e50a6316a75213c4","No additional comment"
"6228f5900f303f54ca6ab186","Thank You For Asking Me ! This was a unique survey in terms of question depth and space made for free expression of frustrations and self image. I enjoyed answering and would honestly love to discuss these type of self reflective questions further in a way that would allow me to tell my story more fully. Thanks again!"
"5c5c8a688089970001788f30","This turned out to be an experience that helped me as much as I hope it will help you. I feel that I have things to think about and wrestle with. There was a mix of feelings I experienced through this but I feel good about having participated and ready to go on with my day."
"5f569e71ae1bf40eae8b5e28","Thank you as well for the chance to take place in this study!"
"5f9e394bfc6fc63e6317cf9f","I had to do 8 recordings instead of 7, and this survey took WAY longer than expected, but otherwise everything was fine. 5f9e394bfc6fc63e6317cf9f"
"5eed1bae9e63ac127ac15a77","Interesting study.  The recording tool worked well, but some of the questions weren't really posed in a way to encourage 90+ seconds of speaking. I did the best I could,even though one question was a simple Yes or No type."
"5d87e122e951a10001c3811a","Nothing comes to mind."
"60fc1e885e3de4c7e85f978c","60fc1e885e3de4c7e85f978c"
"6117be8d81c34e0b13821371","Yikes this study made me really look back lol"
"6115f065036ef79a5d0522ac","Great study! Very easy instructions."
"5fffdc5f626a1e1582ab6b9e","Sorry if my recordings are terrible! I would never send them if I previewed them so I didn't. :)"
"614e63782da8eabb66f8623e","It was actually a little helpful to answer questions and speak about how I've been feeling"
"5e237189f0b71e629c6efe62","Nothing to add."
"5fb08ec5ddc19949a58f5a4f","Thank you for letting me participate"
"63657781c04fe648496b9bab","Thank you for the opportunity to take this survey."
"5fc9b6871356eb50020ddaea","This was honestly kinda fun, I really hope you're able to make that app or community!"
"614e0da3bcc70ead8f1e8d03","I liked this study"
"6337875a4d0587706d8f2543","Great study. Thanks for asking about journaling. I have journaled for almost 40 years and it's been perhaps my best and truest companion."
"6042794fe3c49714bee3e9cf","Thanks"
"6029038db8882e7e820f10c6","GREAT Study! I have SO much more to say!!!"
"60d1220ee97a3b16edd3c882","Thank you for the opportunity to participate"
"5e180c7fb287dc0fbf18414f","Two things: use some indicator so the study participant knows how close they are to completing the study and DON'T USE these miserable scrolling input panes that make it nearly impossible to review the input requested in a study! Think about it."
"6238dfab577ecd4adb97a917","6238dfab577ecd4adb97a917"
"6334edaa3705377cb47d74d5","6334edaa3705377cb47d74d5"
"60c739d1b402ae0d42b37c66","Thank you"
"5d3356323e1190001909339b","This survey was user friendly thank you."
"616dabffda7757926ea7e84d","Interesting questions!"
"5b0a38d230d5620001551e0d","I really enjoy doing these studies, it helps me reflect and think about myself more."
"5e820a4e26ed71918013d860","I truly enjoyed this study, it was a lot of fun (and thought provoking). I look forward to working with you guys in the future (if the opportunity arises)."
"5589c7cefdf99b18bd86cf31","n"
"5f106ee6b1b83d04c55aef29","thank you. don't get to talk about myself often"
"60ca793758a2501babb08221","60ca793758a2501babb08221"
"63810f7b39045213d4d9e16f","Thank you! I enjoyed the survey. Hope my answers were sufficient. Good luck on your end!"
"614d673e3a5fd5cb2b5b6eb7","614d673e3a5fd5cb2b5b6eb7"
"61222038c2048b50449284a1","thank you for letting me take this survey"
"5d90298097a2130015f3fa3c","5d90298097a2130015f3fa3c"
"639fdcf5efa9e98ed809d0df","I didn't find it easy at first but as I spoke more I think it got easier."
"6350714b7f29a002b46db87a","6350714b7f29a002b46db87a"
"60ff79c22777e856ab8c9259","I really hope I did enough speaking time wise. The time at the bottom was a bit confusing for me!"
"62fea4a6acdc0bed6aaaa5a2","Very interactive, overall great to interact with your surveyor’s."
"5c5198da659655000168955d","I think the first audio recording may not have been accepted. Please let me know; I would be happy to rerecord it for you. Also, I did reflect quite a bit in the questions asked."
"614f75bbbd86b33943e62fed","Thank you! Sounds like an interesting study and project."
"60aee0858e96f753f593b729","Thank You."
"614e2047b6eb6384460e04bd","None"
"6112dccad39227e361c13866","6112dccad39227e361c13866"
"5dfbc3d9d62abe8e853f2a09","I wrote down the info for talking with someone.  Thank you I don't feel close to my family so I may use it sometime."
"5f4f93bcb46af5055714d433","Thank you!  I enjoyed this survey and was hesitant to do it at first.  It got me thinking about documenting my feelings."
"5deaf334789cb321c7f002c2","It was really difficult doing the recording right after the one that asked about an event that upset me."
"598fba148380cc00012a3ce7","My first audio recording I listened to make sure it recorded correctly but I but I'm not sure I hit the submit button. Is there anyway to redo the first part? Or do I have to withdraw from the study? Either way I would be very interested in participating in future studies like this"
"5e0696dea7fba607951ae479","Your welcome"
"6286f6f8d2f34c3acb6a2981","6286f6f8d2f34c3acb6a2981"
"60b801b2db3f3649e48306e3","Cool study! The prompts really made me reflect"
"5fe64758bf7c8246fee7d3bc","There is a audio question that I made a mistake and accidently clicked over. I would like to complete it but there was no way to go back. please let me know if you want me to complete this question,"
"5b184a76c9d3cb00010ff605","Thank you! This was a very interesting study and proved to be very introspective!"
"60712d937752fb8780e89951","It was interesting"
"5b1f185488ee7400012b4b5c","Thank you this was amazing!"
"60fedc328bde65fe6f8fc433","N/A"
"62f14222962737dc054ce573","This was a wonderfully conducted study. I felt less stressed about talking than I would have if I was in a live interview, though I would still be willing to do so."
"5d087641c393440019df7510","5d087641c393440019df7510"
"5dd864447beb29822b6c1e86","I enjoyed the study and i would gladly talk more."
"5fcbe82a12a0c80009d6e9cf","I think everything seemed to work fine for me.  I tried to give the best responses I could."
"5f7b85c23139fa143589b106","ty"
"5ede9b80b8a141131edabbe1","No comment."
"5f09dc236c0c092729a73d9b","thank you, always good to get a refresher on what a failure you are at life lol"
"5fc803709e587e1295172443","the first one i did not click to accept as i didnt realized it until 2nd one.  Sorry about that.  The survey was good and i enjoyed it."
"5e331af23d12d4017726c68a","Thank u for this opportunity to be a part of the study and to make some $. d"
"5ca3ccae7958d0001689df68","I would love to answer more questions, if someone of them weren't so broad. I don't mind broad questions, as long as I have more time to talk about it."
"61071715ef66759482346ce4","61071715ef66759482346ce4"
"5cf449aa39f5f900156c14b8","5cf449aa39f5f900156c14b8"
"5fed41e3e14422f5e308c6e5","Thank you! That was fun."
"566af48e7da035000fb39c66","interesting thank you! Yes please let me know future recordings, and if you want to see my 'gratitude cards' lmk and I'll share the link, didn't want to spam :)"
"614f4893a7f27d638ea5e58c","This was very interesting.  Thanks for the opportunity to reflect on these things!"
"62ba9df7bf9e8e2ef0501f94","Very interesting study, thank you!"
"5c475371453cd1000186f208","5c475371453cd1000186f208"
"6394e32126ebbdc7b10c6748","Thanks - I really enjoyed this one!"
"5a99003d777df200015ff521","I have none, thanks!"
"6152095d0b65b445c020dab6","This has been a fascinating experience, and I am intrigued by your possible future study and/or product in the journaling space. Please keep me informed!"
"6314395ce933c9b91e9be41a","The minimum time for talking should be lowered. I had trouble with coming up with more things to say about a certain topic to fit within that timeframe. The study did help me reflect on myself a bit though, so I'm appreciative regardless."
"5e3dbf3d216cf7000cfa0d29","Thank you.  It made a positive impact on my day to think and speak about things in my life."
"5f4d3869219f129c586b5f75","5f4d3869219f129c586b5f75"
"62ceb98594c924be25e1db41","62ceb98594c924be25e1db41"
"5e05169c37241cf5527d7f6a","5e05169c37241cf5527d7f6a"
"601621b8ea15977a10529e99","Am I supposed to type something here?"
"5c800507a1d4b900114f28c4","Thank you"
"5f1c2ebf1d8b7c48ad3ec3db","sorry it took me so long to complete this study, I love this kind of research and studys"
"6102c2bafd71006cf4fcbd67","It only allowed me to do one voice recording then for the rest said “hardware device mot accepted” I would like to finish the survey for payment. Just didn’t know if anyone else had this problem"
"62e029e5f033472477c5cf63","Thank you!"
"60febcdb2e66a515598bc0ba","60febcdb2e66a515598bc0ba"
"5e76c87c0fd39b22d52eba04","Emotions came up that I didn't see coming."
"60fccbcc1254e074f17d5565","60fccbcc1254e074f17d5565"
"63a4c930cad013279a39566c","Thank you for the survey"
"5b6cb3049ee1a50001c5ef0f","The test audio file didn't seem to upload but the question audio files all seemed to upload (?)"
"5a2846ceb4a5de00011af418","Thanks so much for the opportunity to participate today. I went through some very traumatic times in my youth, and journaling really saved me. I appreciate you for reminding me that is an option. While it was challenging to talk about some of these topics, I appreciate the experience and am hopeful for a better future. Thanks again for the opportunity. I welcome the chance to take part in subsequent tasks. Best of luck with your research!"
