"userid","flag_nomatch_survey","flag_no_survey","Progress","Duration__in_seconds_","Status_prolific"
"5fb9402d4e110a7750fd2642",TRUE,FALSE,33,450,"TIMEDOUT"
"63f7e1bb3866d96e37ecfd1c",TRUE,FALSE,54,1157,"TIMEDOUT"
"5cb4d453ce95710018cc99e5",TRUE,FALSE,31,531,"TIMEDOUT"
"6007a7996fbeef04ce080f90",TRUE,FALSE,52,1706,"TIMEDOUT"
"606b09b31d8eeeb1dc5a8fd3",TRUE,FALSE,31,1119,"TIMEDOUT"
"61001d9b2e3d8a75a09f3db3",TRUE,FALSE,33,844,"TIMEDOUT"
"60fdc934e81b93f92f561d76",TRUE,FALSE,36,1025,"TIMEDOUT"
"5eb81d360943fe74d6aba62b",TRUE,FALSE,31,523,"TIMEDOUT"
"63e52483a88355a3a0ac62c5",TRUE,FALSE,31,852,"TIMEDOUT"
"63c72079af67adedbd68ae4b",TRUE,FALSE,33,628,"TIMEDOUT"
"5695615ce0c800000c5a4a8f",TRUE,FALSE,38,321,"TIMEDOUT"
"60f09796c2a24694ff43f6b7",TRUE,FALSE,58,3062,"TIMEDOUT"
"5f6e36c7f042f033d0f97bc1",TRUE,FALSE,47,2343,"TIMEDOUT"
"5ba849b3a2a1ae0001f08d2d",TRUE,FALSE,31,558,"TIMEDOUT"
"5db753692a16b8000b4d44f6",TRUE,FALSE,36,1118,"TIMEDOUT"
"60bebdec81297725b80fd773",TRUE,FALSE,31,220,"TIMEDOUT"
"63eef29bea52ddfb8eb4e142",TRUE,FALSE,68,2036,"TIMEDOUT"
"5b49eba46a4f840001f77485",TRUE,FALSE,27,1732,"TIMEDOUT"
"6343450c98348203f5bc49ed",TRUE,FALSE,31,367,"TIMEDOUT"
"6238dfab577ecd4adb97a917",TRUE,FALSE,36,816,"TIMEDOUT"
"5e13ad514c81b2a01ae4aa9f",TRUE,FALSE,53,685,"TIMEDOUT"
"60f8adb9a315f316c3aee425",TRUE,FALSE,36,1025,"TIMEDOUT"
"6234f954ebf560c4741256ad",TRUE,FALSE,33,509,"TIMEDOUT"
"64095bad16a0f16cf1561084",TRUE,FALSE,58,1552,"TIMEDOUT"
"5dda0a8b3c870a9824c901f5",TRUE,FALSE,53,1259,"TIMEDOUT"
"61036c39549abd4fa911d139",TRUE,FALSE,36,994,"TIMEDOUT"
"63383ce105061ac9c94a652a",TRUE,FALSE,52,6231,"TIMEDOUT"
"612db20ace4b3d70ddeb2bda",TRUE,FALSE,31,256,"TIMEDOUT"
"5f565c9592080106c6b4d467",TRUE,FALSE,33,880,"TIMEDOUT"
"5e6e20f4ca6d9c3c1836a948",TRUE,FALSE,47,1268,"TIMEDOUT"
"5f2dc4be9719bd0f8a6ce15c",TRUE,FALSE,33,566,"TIMEDOUT"
"63bc5668e856a67c2cd471de",TRUE,FALSE,33,3361,"TIMEDOUT"
"5c315f577626080001a88cb2",TRUE,FALSE,36,2042,"TIMEDOUT"
"5e9310d77d6dc1000baa5ee7",TRUE,FALSE,31,330,"TIMEDOUT"
"611304f1299dce12edc06465",TRUE,FALSE,50,3224,"TIMEDOUT"
"60fcd954f5ff1656599b53c9",TRUE,FALSE,71,2782,"TIMEDOUT"
"611157c844a1748cd8ce4ada",TRUE,FALSE,33,1653,"TIMEDOUT"
"63d3fd0eaacb48923fa38191",TRUE,FALSE,36,8470,"TIMEDOUT"
"5d0943bf52fb1200194137f5",TRUE,FALSE,47,1720,"TIMEDOUT"
"5b274df334ffd00001b46813",TRUE,FALSE,27,366,"TIMEDOUT"
"5e2878ae4b6c4704c10fe471",TRUE,FALSE,47,1002,"TIMEDOUT"
"6008ff164e12985c2a8e8040",TRUE,FALSE,31,353,"TIMEDOUT"
"6116defc42273649ab0d8dc8",TRUE,FALSE,36,874,"TIMEDOUT"
"63f0fb9941434d10e8e4909b",TRUE,FALSE,31,1635,"TIMEDOUT"
"589fcf7a9b4be40001fdcff5",TRUE,FALSE,47,1775,"TIMEDOUT"
"63ed86ca95e89a58884b9677",TRUE,FALSE,47,987,"TIMEDOUT"
"5b05fa7c6f73510001fd9cf3",TRUE,FALSE,33,391,"TIMEDOUT"
"62e073721cd1f5f6cff50910",TRUE,FALSE,31,841,"TIMEDOUT"
"603862f99e00971c55fe0874",TRUE,FALSE,69,7957,"TIMEDOUT"
"5bdb5e785e77d9000147e94d",TRUE,FALSE,62,2786,"TIMEDOUT"
"54849ec4fdf99b0379939d1d",TRUE,FALSE,55,1210,"TIMEDOUT"
"5de5538f8fde1c4dbc951498",TRUE,FALSE,33,842,"TIMEDOUT"
"611729ddf39841cce093b0ff",TRUE,FALSE,31,335,"TIMEDOUT"
"5f5e22abacd23c0862700be4",TRUE,FALSE,64,1688,"TIMEDOUT"
"610a8b75ec5600f95b8b1c12",TRUE,FALSE,36,917,"TIMEDOUT"
"61286af4797d61e693470f05",TRUE,FALSE,58,1340,"TIMEDOUT"
"5e33194f7d541f035c91e3b4",TRUE,FALSE,36,1139,"TIMEDOUT"
"5fd02fea84bdb809404020a2",TRUE,FALSE,33,460,"TIMEDOUT"
"63ed0b439df4b5276f7b7df2",TRUE,FALSE,36,551,"TIMEDOUT"
"5b920a69abfadc0001e7ffa9",TRUE,FALSE,31,932,"TIMEDOUT"
"6314453e0a22cc4e1e66ca08",TRUE,FALSE,52,1241,"TIMEDOUT"
"629531cb501e6d23d9797050",TRUE,FALSE,55,1228,"TIMEDOUT"
"5dd29e4e2274972a5d4ada96",TRUE,FALSE,33,895,"TIMEDOUT"
"6045c416b5547f70e3917c12",TRUE,FALSE,60,67064,"TIMEDOUT"
"5f17043c8ad8cb033bf27c0f",TRUE,FALSE,36,1176,"TIMEDOUT"
"5ad1dee393f87d00016ce40f",TRUE,FALSE,36,550,"TIMEDOUT"
"615880a66bc32302998866d9",TRUE,FALSE,31,20806,"TIMEDOUT"
"58a130dcbb9e0f0001ac9ae2",TRUE,FALSE,26,200,"TIMEDOUT"
"5f1dea279f4818757f07f087",TRUE,FALSE,36,2708,"TIMEDOUT"
"5f0e9896f5e4e11e12c8f5ac",TRUE,FALSE,26,249,"TIMEDOUT"
"60d274f19c905b0e24c4911d",TRUE,FALSE,26,195,"TIMEDOUT"
"614af89a94339a92bf646754",TRUE,FALSE,57,2192,"TIMEDOUT"
"60fec21e36a05990cfa8a715",TRUE,FALSE,26,725,"TIMEDOUT"
"63d45bf9e192b84c4cfdf0ba",TRUE,FALSE,26,151,"TIMEDOUT"
"628d114b1acd87ea1b37874e",TRUE,FALSE,26,270,"TIMEDOUT"
"62fd0bc538d70b87550691f7",TRUE,FALSE,26,597,"TIMEDOUT"
"59944b4b5f49420001cafa10",TRUE,FALSE,70,586,"TIMEDOUT"
"57527f5f0811ad0006f37c29",TRUE,FALSE,26,208,"TIMEDOUT"
"63e53dc0bb780ac38cdcf77e",TRUE,FALSE,53,1252,"TIMEDOUT"
"612ba4bfee20a1ffc86116f9",TRUE,FALSE,40,7144,"TIMEDOUT"
"61438982b4488a53bfb70f02",TRUE,FALSE,33,442,"TIMEDOUT"
"5931ae834ecc2d0001e7e1b6",TRUE,FALSE,33,608,"TIMEDOUT"
"63619eb02e5bd8f4f7bd138a",TRUE,FALSE,26,462,"TIMEDOUT"
"610b19a0b61f5f510285b82b",TRUE,FALSE,33,448,"TIMEDOUT"
"60c7848a39b4e7ecc85259be",TRUE,FALSE,60,2701,"TIMEDOUT"
"636154c9faf44aa44a14d155",TRUE,FALSE,36,1039,"TIMEDOUT"
"610a30b7a800f225aa297939",TRUE,FALSE,47,769,"TIMEDOUT"
"6237f1aa5714eb95fcf2a54d",TRUE,FALSE,71,20515,"TIMEDOUT"
"63d7e87ee7333b219a553295",TRUE,FALSE,33,1344,"TIMEDOUT"
"60ff62db7d4eb4134c284f03",TRUE,FALSE,38,858,"TIMEDOUT"
"5bf08e67d63d690001360a79",TRUE,FALSE,26,301,"TIMEDOUT"
